env_time,Repo,BuildVersion,PackageName,PackageVersion,Branch,Relationship,DataSource
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.DependencyInjection.Abstractions,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.Diagnostic.Internals,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.Diagnostics.Abstractions,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.Hosting.Abstractions,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.Hosting.Common,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.Hosting.Minimal,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.Logging.Abstractions,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.Logging.UnifiedApi,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Instrumentation.UnifiedApiNetStd.Abstractions,7.0.68.7,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Instrumentation.UnifiedApiNetStd.Impl,7.0.68.7,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Management.Services.Diagnostics.Opentelemetry.AuditCore,7.0.68.7,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.NETCore.Platforms,5.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.OpenApi,1.6.23,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Win32.Registry,5.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Newtonsoft.Json,13.0.3,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
